cultura;categoria;descripcio;experiencia;temps;nivell;versio
ca-ES;Llenguatges de programació;Php;2;any;Expert;5
ca-ES;Llenguatges de programació;Angular;1;any;Mig;Js
ca-ES;Llenguatges de programació;Angular;6;mes;Mig;2
ca-ES;Llenguatges de programació;Angular;2;mes;Mig;4
ca-ES;Llenguatges de programació;Grunt;1;any;Alt;-
ca-ES;Llenguatges de programació;Karma;1;any;Alt;-
ca-ES;Llenguatges de programació;Jasmine;1;any;Alt;-
ca-ES;Llenguatges de programació;VB.Net;15;any;Expert;.Net
ca-ES;Llenguatges de programació;C#;14;any;Expert;.Net
ca-ES;Llenguatges de programació;ASP.Net;15;any;Expert;.Net
ca-ES;Llenguatges de programació;ASP;22;any;Expert;clàssic
ca-ES;Llenguatges de programació;HTML;12;any;Expert;5
ca-ES;Llenguatges de programació;HTML;22;any;Expert;-
ca-ES;Llenguatges de programació;JavaScript;22;any;Expert;-
ca-ES;Llenguatges de programació;C/C++;25;any;Alt;-
ca-ES;Llenguatges de programació;Java;11;any;Alt;-
ca-ES;Llenguatges de programació;JSP;11;any;Alt;-
ca-ES;Llenguatges de programació;CSS;22;any;Expert;3
ca-ES;Llenguatges de programació;SASS;1;mes;Expert;-
ca-ES;Llenguatges de programació;Visual Basic;22;any;Alt;3,4,5
ca-ES;Llenguatges de programació;XSL;5;mes;Alt;-
ca-ES;Llenguatges de programació;XML;15;any;Expert;-
ca-ES;Llenguatges de programació;MVC;8;any;Expert;3,4,5,.Net
ca-ES;Llenguatges de programació;Entity Framework (EF);2;mes;Mig;.Net
ca-ES;Llenguatges de programació;Linq (EF);8;any;Mig;.Net
ca-ES;Llenguatges de programació;NHibernate;10;mes;Mig;.Net
ca-ES;Llenguatges de programació;Microsoft Framework;15;any;Expert;1, 1.1, 2, 3.5, 4, 4.5
ca-ES;Llenguatges de programació;Ajax;12;any;Alt;-
ca-ES;Llenguatges de programació;JQuery;12;any;Alt;-
ca-ES;Base de dades;Oracle;15;any;Expert;8,9,10,11
ca-ES;Base de dades;SQL Server;20;any;Expert;97, 2003, 2005, 2008, 2014, 2016
ca-ES;Base de dades;MS Access;15;any;Expert;-
ca-ES;Base de dades;MySQL;1;any;Alt;-
ca-ES;Base de dades;Mongo DB;1;any;Alt;-
ca-ES;Base de dades;Cloudant DB;1;any;Alt;-
ca-ES;Sistemes operatius;Windows;24;any;Expert;95, 98, NT, 2000 Pro, XP, Vista, 7, 8, 10
ca-ES;Sistemes operatius;Unix;23;any;Alt;Usuari, administrador
ca-ES;Sistemes operatius;Ubuntu;2;any;Alt;-
ca-ES;Altres;Kentico;6;mes;Mig;-
ca-ES;Altres;TFS;10;any;Expert;.Net
ca-ES;Altres;GIT;1;any;Expert;.Net
ca-ES;Altres;SVN;2;any;Expert;.Net
ca-ES;Altres;CSV;10;any;Expert;.Net
ca-ES;Altres;Grails;4;mes;Mig;-
ca-ES;Altres;GIS (GeoLocalització);4;mes;Mig;-
ca-ES;Altres;Ajax;12;any;Alt;-
ca-ES;Altres;JQuery;12;any;Alt;-
ca-ES;Altres;SourceForge;1;mes;Baix;-
ca-ES;Altres;GP Version;1;mes;Baix;-
ca-ES;Altres;Telerik;2;any;Alt;-
ca-ES;Altres;Sharepoint;1;any;Baix;
ca-ES;Altres;SCRUM-TFS;12;any;Alt;-
ca-ES;Altres;SCRUM-Jira;1;any;Alt;-
ca-ES;Altres;CMS;3;any;Mig;-
ca-ES;Altres;ActiveX;23;any;Alt;-
ca-ES;Altres;Internet information Server (IIS);18;any;6, 7, 8, Express;Expert;-
ca-ES;Altres;Visual Studio;18;any;Expert;2015, 2013, 2012, 2010, 2008, 2005, 2003, 6.0, Code
ca-ES;Altres;Atom;1;any;Expert;-
ca-ES;Altres;Notepad++;1;any;Expert;-
es-ES;Lenguajes de programación;Php;2;año;Experto;5
es-ES;Lenguajes de programación;Angular;1;año;Mig;Js
